Balancete Patrimonial (Código documento 4010)                                                                                                                         
Data de geração dos dados: 01/04/2011                                                                                                                                 
Fonte: Instituições financeiras                                                                                                                                       
DATA;CNPJ;NOME INSTITUICAO;ATRIBUTO;DOCUMENTO;CONTA;NOME CONTA;SALDO                                                                                                  
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0010000007;CIRCULANTE E REALIZAVEL A LONGO PRAZO             ; 0000658903371940,88
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0011000006;DISPONIBILIDADES                                  ; 0000008856336590,98
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0011100009;CAIXA                                             ; 0000008103457317,74
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0011300005;RESERVAS LIVRES                                   ; 0000000566915940,00
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0011500001;DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS           ; 0000000185963333,24
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0012000005;APLICACOES INTERFINANCEIRAS DE LIQUIDEZ           ; 0000134464296017,83
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0012100008;APLICACOES EM OPERACOES COMPROMISSADAS            ; 0000114712247021,65
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0012200001;APLICACOES EM DEPOSITOS INTERFINANCEIROS          ; 0000009015954751,77
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0012600003;APLICA OES EM MOEDAS ESTRANGEIRAS                 ; 0000010736094244,41
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0013000004;TITULOS E VAL. MOB. E INST. FINANC. DERIVATIVOS   ; 0000089449642259,09
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0013100007;LIVRES                                            ; 0000040811570166,80
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0013200000;VINCULADOS A OPERACOES COMPROMISSADAS             ; 0000046234192951,28
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0013300003;INSTRUMENTOS FINANCEIROS DERIVATIVOS              ; 0000000350691097,44
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0013400006;VINCULADOS AO BANCO CENTRAL                       ; 0000000000075097,16
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0013600002;VINCULADOS A PRESTACAO DE GARANTIAS               ; 0000002053112946,41
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0014000003;RELACOES INTERFINANCEIRAS                         ; 0000070956911963,04
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0014100006;DIREITOS JUNTO A PARTIC. DE SISTEMAS DE LIQUIDAÇÃO; 0000002218067397,71
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0014200009;CREDITOS VINCULADOS                               ; 0000068458087666,77
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0014300002;REPASSES INTERFINANCEIROS                         ; 0000000031074224,84
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0014400005;RELACOES COM CORRESPONDENTES                      ; 0000000249682673,72
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0015000002;RELACOES INTERDEPENDENCIAS                        ; 0000000129164265,21
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0015100005;RECURSOS EM TRANSITO DE TERCEIROS                 ; 0000000000000424,25
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0015200008;TRANSFERENCIAS INTERNAS DE RECURSOS               ; 0000000129163840,96
201008;00000000;BCO DO BRASIL S.A.                                          ;L;4010;0016000001;OPERACOES DE CREDITO                              ; 0000255676686546,00
